--- Unified Training v2 ---
Rank: 0 / 1
Labels: 116
Train: 659 | Val: 165
Epoch 1 | FDM_DPI-2024-7-KRN_Lu177_PSMA__SPECT_Tc_11__Pat114 | Loss = 2.7393
Epoch 1 | UNC_FDM_DPI-2024-7-KRN_Lu177_PSMA__PETPSMA_2__Pat67 | Loss = 39.8417
Epoch 1 | FDM_DPI-2024-7-KRN_Lu177_PSMA__SPECT_Tc_1__Pat97 | Loss = 15.2754
Epoch 1 | UNC_FDM_DPI-2024-7-KRN_Lu177_PSMA__PETPSMA_0__Pat118 | Loss = 30.6052
Epoch 1 | UNC_FDM_DPI-2024-7-KRN_Lu177_PSMA__PETPSMA_0__Pat97 | Loss = 28.4907
Epoch 1 | FDM_DPI-2024-7-KRN_Lu177_PSMA__SPECT_Tc_0__Pat97 | Loss = 5.2221
Epoch 1 | UNC_FDM_DPI-2024-7-KRN_Lu177_PSMA__PETPSMA_1__Pat5 | Loss = 9.7820
Epoch 1 | FDM_DPI-2024-7-KRN_Lu177_PSMA__SPECT_Tc_7__Pat16 | Loss = 38.3829
Epoch 1 | FDM_DPI-2024-7-KRN_Lu177_PSMA__SPECT_Tc_1__Pat82 | Loss = 5.3448
Epoch 1 | UNC_FDM_DPI-2024-7-KRN_Lu177_PSMA__PETPSMA_0__Pat105 | Loss = 5.4417
Epoch 1 | FDM_DPI-2024-7-KRN_Lu177_PSMA__SPECT_Tc_1__Pat51 | Loss = 11.0967
Epoch 1 | UNC_FDM_DPI-2024-7-KRN_Lu177_PSMA__PETPSMA_2__Pat111 | Loss = 13.9153
Epoch 1 | FDM_DPI-2024-7-KRN_Lu177_PSMA__SPECT_Tc_4__Pat114 | Loss = 4.8873
Epoch 1 | FDM_DPI-2024-7-KRN_Lu177_PSMA__SPECT_Tc_3__Pat103 | Loss = 4.1438
Epoch 1 | FDM_DPI-2024-7-KRN_Lu177_PSMA__SPECT_Tc_2__Pat104 | Loss = 12.0840
Epoch 1 | UNC_FDM_DPI-2024-7-KRN_Lu177_PSMA__PETPSMA_0__Pat112 | Loss = 7.2264
Epoch 1 | UNC_FDM_DPI-2024-7-KRN_Lu177_PSMA__PETPSMA_2__Pat20 | Loss = 12.0576
Epoch 1 | UNC_FDM_DPI-2024-7-KRN_Lu177_PSMA__PETPSMA_2__Pat91 | Loss = 3.5365
Epoch 1 | FDM_DPI-2024-7-KRN_Lu177_PSMA__SPECT_Tc_0__Pat84 | Loss = 10.0858
Epoch 1 | FDM_DPI-2024-7-KRN_Lu177_PSMA__SPECT_Tc_6__Pat47 | Loss = 8.5874
Epoch 1 | FDM_DPI-2024-7-KRN_Lu177_PSMA__SPECT_Tc_1__Pat108 | Loss = 12.0144
Epoch 1 | FDM_DPI-2024-7-KRN_Lu177_PSMA__SPECT_Tc_1__Pat60 | Loss = 19.3924
Epoch 1 | UNC_FDM_DPI-2024-7-KRN_Lu177_PSMA__PETPSMA_3__Pat3 | Loss = 12.2499
Epoch 1 | UNC_FDM_DPI-2024-7-KRN_Lu177_PSMA__PETPSMA_2__Pat9 | Loss = 19.8072
Epoch 1 | FDM_DPI-2024-7-KRN_Lu177_PSMA__SPECT_Tc_2__Pat5 | Loss = 6.8012
Epoch 1 | FDM_DPI-2024-7-KRN_Lu177_PSMA__SPECT_Tc_3__Pat118 | Loss = 5.4867
Epoch 1 | FDM_DPI-2024-7-KRN_Lu177_PSMA__SPECT_Tc_3__Pat119 | Loss = 12.7645
Epoch 1 | FDM_DPI-2024-7-KRN_Lu177_PSMA__SPECT_Tc_2__Pat13 | Loss = 48.4010
Epoch 1 | UNC_FDM_DPI-2024-7-KRN_Lu177_PSMA__PETPSMA_3__Pat30 | Loss = 4.3826
Epoch 1 | UNC_FDM_DPI-2024-7-KRN_Lu177_PSMA__PETPSMA_0__Pat136 | Loss = 17.8999
Epoch 1 | UNC_FDM_DPI-2024-7-KRN_Lu177_PSMA__PETPSMA_1__Pat91 | Loss = 7.8853
Epoch 1 | FDM_DPI-2024-7-KRN_Lu177_PSMA__SPECT_Tc_3__Pat35 | Loss = 28.3680
Epoch 1 | UNC_FDM_DPI-2024-7-KRN_Lu177_PSMA__PETPSMA_0__Pat4 | Loss = 9.7647
Epoch 1 | UNC_FDM_DPI-2024-7-KRN_Lu177_PSMA__PETPSMA_0__Pat139 | Loss = 9.2281
Epoch 1 | FDM_DPI-2024-7-KRN_Lu177_PSMA__SPECT_Tc_3__Pat82 | Loss = 14.4563
Epoch 1 | FDM_DPI-2024-7-KRN_Lu177_PSMA__SPECT_Tc_7__Pat49 | Loss = 19.7816
Epoch 1 | UNC_FDM_DPI-2024-7-KRN_Lu177_PSMA__PETPSMA_0__Pat127 | Loss = 10.5623
Epoch 1 | FDM_DPI-2024-7-KRN_Lu177_PSMA__SPECT_Tc_0__Pat101 | Loss = 14.9553
Epoch 1 | FDM_DPI-2024-7-KRN_Lu177_PSMA__SPECT_Tc_1__Pat54 | Loss = 34.2550
Epoch 1 | UNC_FDM_DPI-2024-7-KRN_Lu177_PSMA__PETPSMA_2__Pat60 | Loss = 17.1681
Epoch 1 | FDM_DPI-2024-7-KRN_Lu177_PSMA__SPECT_Tc_8__Pat14 | Loss = 7.2322
Epoch 1 | FDM_DPI-2024-7-KRN_Lu177_PSMA__SPECT_Tc_7__Pat25 | Loss = 5.9076
Epoch 1 | FDM_DPI-2024-7-KRN_Lu177_PSMA__SPECT_Tc_0__Pat51 | Loss = 3.5293
Epoch 1 | FDM_DPI-2024-7-KRN_Lu177_PSMA__SPECT_Tc_1__Pat117 | Loss = 4.7230
Epoch 1 | UNC_FDM_DPI-2024-7-KRN_Lu177_PSMA__PETPSMA_0__Pat109 | Loss = 8.4711
Epoch 1 | PET_sub-003 | Loss = 92.4580
Epoch 1 | UNC_FDM_DPI-2024-7-KRN_Lu177_PSMA__PETPSMA_1__Pat4 | Loss = 22.0235
Epoch 1 | UNC_FDM_DPI-2024-7-KRN_Lu177_PSMA__PETPSMA_3__Pat28 | Loss = 8.4840
Epoch 1 | UNC_FDM_DPI-2024-7-KRN_Lu177_PSMA__PETPSMA_2__Pat35 | Loss = 4.9449
Epoch 1 | UNC_FDM_DPI-2024-7-KRN_Lu177_PSMA__PETPSMA_1__Pat29 | Loss = 18.2612
Epoch 1 | FDM_DPI-2024-7-KRN_Lu177_PSMA__SPECT_Tc_2__Pat17 | Loss = 32.0994
Epoch 1 | UNC_FDM_DPI-2024-7-KRN_Lu177_PSMA__PETPSMA_0__Pat45 | Loss = 12.6162
Epoch 1 | UNC_FDM_DPI-2024-7-KRN_Lu177_PSMA__PETPSMA_0__Pat28 | Loss = 4.6165
Epoch 1 | UNC_FDM_DPI-2024-7-KRN_Lu177_PSMA__PETPSMA_0__Pat24 | Loss = 4.2448
Epoch 1 | FDM_DPI-2024-7-KRN_Lu177_PSMA__SPECT_Tc_4__Pat20 | Loss = 22.0813
Epoch 1 | FDM_DPI-2024-7-KRN_Lu177_PSMA__SPECT_Iodine_0__Pat116 | Loss = 4.1166
Epoch 1 | FDM_DPI-2024-7-KRN_Lu177_PSMA__SPECT_Tc_8__Pat25 | Loss = 97.8881
Epoch 1 | UNC_FDM_DPI-2024-7-KRN_Lu177_PSMA__PETPSMA_0__Pat124 | Loss = 8.3472
Epoch 1 | UNC_FDM_DPI-2024-7-KRN_Lu177_PSMA__PETPSMA_2__Pat52 | Loss = 6.2286
Epoch 1 | FDM_DPI-2024-7-KRN_Lu177_PSMA__SPECT_Tc_0__Pat54 | Loss = 32.4249
Epoch 1 | FDM_DPI-2024-7-KRN_Lu177_PSMA__SPECT_Tc_0__Pat90 | Loss = 27.2931
Epoch 1 | FDM_DPI-2024-7-KRN_Lu177_PSMA__SPECT_Tc_5__Pat3 | Loss = 8.0100
Epoch 1 | UNC_FDM_DPI-2024-7-KRN_Lu177_PSMA__PETPSMA_0__Pat14 | Loss = 3.9610
Epoch 1 | FDM_DPI-2024-7-KRN_Lu177_PSMA__SPECT_Tc_3__Pat10 | Loss = 10.3576
Epoch 1 | FDM_DPI-2024-7-KRN_Lu177_PSMA__SPECT_Tc_1__Pat30 | Loss = 39.3261
Epoch 1 | FDM_DPI-2024-7-KRN_Lu177_PSMA__SPECT_Tc_0__Pat19 | Loss = 35.2729
Epoch 1 | UNC_FDM_DPI-2024-7-KRN_Lu177_PSMA__PETPSMA_1__Pat95 | Loss = 29.0339
Epoch 1 | UNC_FDM_DPI-2024-7-KRN_Lu177_PSMA__PETPSMA_0__Pat84 | Loss = 5.3098
Epoch 1 | UNC_FDM_DPI-2024-7-KRN_Lu177_PSMA__PETPSMA_0__Pat68 | Loss = 9.4653
Epoch 1 | FDM_DPI-2024-7-KRN_Lu177_PSMA__SPECT_Tc_0__Pat111 | Loss = 17.0121
Epoch 1 | UNC_FDM_DPI-2024-7-KRN_Lu177_PSMA__PETPSMA_3__Pat127 | Loss = 6.9240
Epoch 1 | FDM_DPI-2024-7-KRN_Lu177_PSMA__SPECT_Tc_5__Pat47 | Loss = 4.4419
Epoch 1 | UNC_FDM_DPI-2024-7-KRN_Lu177_PSMA__PETPSMA_0__Pat88 | Loss = 25.7250
Epoch 1 | FDM_DPI-2024-7-KRN_Lu177_PSMA__SPECT_Tc_0__Pat34 | Loss = 12.2512
Epoch 1 | FDM_DPI-2024-7-KRN_Lu177_PSMA__SPECT_Tc_7__Pat14 | Loss = 3.1396
Epoch 1 | FDM_DPI-2024-7-KRN_Lu177_PSMA__SPECT_Tc_0__Pat67 | Loss = 29.3048
Epoch 1 | UNC_FDM_DPI-2024-7-KRN_Lu177_PSMA__PETPSMA_1__Pat67 | Loss = 26.7631
Epoch 1 | FDM_DPI-2024-7-KRN_Lu177_PSMA__SPECT_Tc_2__Pat127 | Loss = 25.9362
Epoch 1 | UNC_FDM_DPI-2024-7-KRN_Lu177_PSMA__PETPSMA_0__Pat49 | Loss = 16.5749
Epoch 1 | FDM_DPI-2024-7-KRN_Lu177_PSMA__SPECT_Tc_1__Pat24 | Loss = 13.9025
Epoch 1 | FDM_DPI-2024-7-KRN_Lu177_PSMA__SPECT_Tc_0__Pat105 | Loss = 23.4325
Epoch 1 | FDM_DPI-2024-7-KRN_Lu177_PSMA__SPECT_Tc_1__Pat94 | Loss = 23.3914
Epoch 1 | FDM_DPI-2024-7-KRN_Lu177_PSMA__SPECT_Tc_0__Pat79 | Loss = 9.3297
Epoch 1 | FDM_DPI-2024-7-KRN_Lu177_PSMA__SPECT_Tc_2__Pat119 | Loss = 5.6456
Epoch 1 | FDM_DPI-2024-7-KRN_Lu177_PSMA__SPECT_Tc_7__Pat20 | Loss = 5.4200
Epoch 1 | FDM_DPI-2024-7-KRN_Lu177_PSMA__SPECT_Tc_2__Pat91 | Loss = 6.1255
Epoch 1 | FDM_DPI-2024-7-KRN_Lu177_PSMA__SPECT_Tc_1__Pat34 | Loss = 38.6467
Epoch 1 | FDM_DPI-2024-7-KRN_Lu177_PSMA__SPECT_Tc_2__Pat2 | Loss = 48.2745
Epoch 1 | UNC_FDM_DPI-2024-7-KRN_Lu177_PSMA__PETPSMA_3__Pat20 | Loss = 4.6707
Epoch 1 | FDM_DPI-2024-7-KRN_Lu177_PSMA__SPECT_Tc_3__Pat21 | Loss = 5.1827
Epoch 1 | FDM_DPI-2024-7-KRN_Lu177_PSMA__SPECT_Tc_1__Pat1 | Loss = 11.1527
Epoch 1 | FDM_DPI-2024-7-KRN_Lu177_PSMA__SPECT_Tc_0__Pat20 | Loss = 8.5671
Epoch 1 | FDM_DPI-2024-7-KRN_Lu177_PSMA__SPECT_Tc_1__Pat127 | Loss = 4.0862
Epoch 1 | FDM_DPI-2024-7-KRN_Lu177_PSMA__SPECT_Tc_0__Pat3 | Loss = 17.9100
Epoch 1 | FDM_DPI-2024-7-KRN_Lu177_PSMA__SPECT_Tc_3__Pat114 | Loss = 45.4047
Epoch 1 | FDM_DPI-2024-7-KRN_Lu177_PSMA__SPECT_Tc_0__Pat109 | Loss = 30.1061
Epoch 1 | UNC_FDM_DPI-2024-7-KRN_Lu177_PSMA__PETPSMA_0__Pat3 | Loss = 27.8795
Epoch 1 | FDM_DPI-2024-7-KRN_Lu177_PSMA__SPECT_Tc_3__Pat128 | Loss = 17.8736
Epoch 1 | FDM_DPI-2024-7-KRN_Lu177_PSMA__SPECT_Tc_5__Pat49 | Loss = 5.0676
Epoch 1 | FDM_DPI-2024-7-KRN_Lu177_PSMA__SPECT_Tc_1__Pat32 | Loss = 33.1900
Epoch 1 | FDM_DPI-2024-7-KRN_Lu177_PSMA__SPECT_Tc_3__Pat25 | Loss = 4.2111
Epoch 1 | UNC_FDM_DPI-2024-7-KRN_Lu177_PSMA__PETPSMA_1__Pat31 | Loss = 15.3398
