--- Unified Training v2 (Enhanced) ---
Rank: 0 / 1
Labels: 116
Train: 659 | Val: 165
Epoch 2 | 220/659 | UNC_FDM_DPI-2024-7-KRN_Lu177_PSMA__PETPSMA_2__Pat105 | Loss = 2.9861
Epoch 2 | 240/659 | FDM_DPI-2024-7-KRN_Lu177_PSMA__SPECT_Tc_4__Pat28 | Loss = 1.9206
Epoch 2 | 250/659 | FDM_DPI-2024-7-KRN_Lu177_PSMA__SPECT_Tc_4__Pat47 | Loss = 3.9091
Epoch 2 | 260/659 | FDM_DPI-2024-7-KRN_Lu177_PSMA__SPECT_Tc_0__Pat79 | Loss = 3.9585
Epoch 2 | 270/659 | FDM_DPI-2024-7-KRN_Lu177_PSMA__SPECT_Tc_1__Pat65 | Loss = 2.4924
Epoch 2 | 280/659 | UNC_FDM_DPI-2024-7-KRN_Lu177_PSMA__PETPSMA_1__Pat109 | Loss = 5.0146
Epoch 2 | 290/659 | FDM_DPI-2024-7-KRN_Lu177_PSMA__SPECT_Tc_2__Pat121 | Loss = 3.9409
Epoch 2 | 300/659 | UNC_FDM_DPI-2024-7-KRN_Lu177_PSMA__PETPSMA_1__Pat136 | Loss = 4.4988
Epoch 2 | 310/659 | UNC_FDM_DPI-2024-7-KRN_Lu177_PSMA__PETPSMA_2__Pat1 | Loss = 6.3044
Epoch 2 | 330/659 | FDM_DPI-2024-7-KRN_Lu177_PSMA__SPECT_Tc_1__Pat82 | Loss = 5.4682
Epoch 2 | 340/659 | FDM_DPI-2024-7-KRN_Lu177_PSMA__SPECT_Tc_0__Pat98 | Loss = 1.6158
Epoch 2 | 350/659 | UNC_FDM_DPI-2024-7-KRN_Lu177_PSMA__PETPSMA_0__Pat87 | Loss = 25.1288
Epoch 2 | 360/659 | FDM_DPI-2024-7-KRN_Lu177_PSMA__SPECT_Tc_0__Pat56 | Loss = 4.2363
Epoch 2 | 380/659 | FDM_DPI-2024-7-KRN_Lu177_PSMA__SPECT_Tc_0__Pat19 | Loss = 27.5596
Epoch 2 | 390/659 | FDM_DPI-2024-7-KRN_Lu177_PSMA__SPECT_Tc_1__Pat25 | Loss = 1.6247
Epoch 2 | 400/659 | UNC_FDM_DPI-2024-7-KRN_Lu177_PSMA__PETPSMA_2__Pat8 | Loss = 2.6451
Epoch 2 | 410/659 | UNC_FDM_DPI-2024-7-KRN_Lu177_PSMA__PETPSMA_1__Pat53 | Loss = 4.8035
Epoch 2 | 420/659 | UNC_FDM_DPI-2024-7-KRN_Lu177_PSMA__PETPSMA_0__Pat4 | Loss = 13.5612
Epoch 2 | 440/659 | FDM_DPI-2024-7-KRN_Lu177_PSMA__SPECT_Tc_0__Pat124 | Loss = 43.7959
Epoch 2 | 460/659 | FDM_DPI-2024-7-KRN_Lu177_PSMA__SPECT_Tc_1__Pat101 | Loss = 4.9527
Epoch 2 | 470/659 | FDM_DPI-2024-7-KRN_Lu177_PSMA__SPECT_Tc_8__Pat14 | Loss = 8.7615
Epoch 2 | 480/659 | UNC_FDM_DPI-2024-7-KRN_Lu177_PSMA__PETPSMA_0__Pat19 | Loss = 3.1938
Epoch 2 | 490/659 | UNC_FDM_DPI-2024-7-KRN_Lu177_PSMA__PETPSMA_0__Pat10 | Loss = 6.3980
